,开盘,最高,最低,收盘,成交量,成交额
2000-01-04,24.98,25.78,24.75,25.57,4496000,113946784.0
2000-01-05,25.57,25.98,25.15,25.28,5252800,134465424.0
2000-01-06,25.18,26.3,25.05,25.99,6229600,160059792.0
2000-01-07,26.3,27.5,26.12,26.9,21355300,575751104.0
2000-01-10,27.0,27.85,26.71,27.25,16539700,450453504.0
2000-01-11,27.25,27.3,26.12,26.2,9390700,251055904.0
2000-01-12,26.0,26.0,24.8,25.12,35274900,889867328.0
2000-01-13,25.0,25.25,24.8,24.9,7975600,199244304.0
2000-01-14,24.88,25.0,23.91,24.2,17861800,434206080.0
2000-01-17,24.08,24.44,23.75,24.4,8101500,194776960.0
2000-01-18,24.5,24.57,23.88,24.14,7693300,185091680.0
2000-01-19,24.14,24.29,23.98,24.13,4658400,112325240.0
2000-01-20,24.12,24.65,24.1,24.44,5114400,124668176.0
2000-01-21,24.51,24.63,24.08,24.27,8138600,197523216.0
2000-01-24,24.2,24.25,23.95,24.18,9250200,222404432.0
2000-01-25,24.18,25.16,24.18,24.59,7742200,191183024.0
2000-01-26,24.6,24.8,24.31,24.41,2737700,67037920.0
2000-01-27,24.47,24.78,24.2,24.59,6335000,154926928.0
2000-01-28,24.6,25.1,24.56,25.04,12362700,307633600.0
2000-02-14,26.0,27.48,25.5,27.2,23739100,628039232.0
2000-02-15,27.2,27.48,25.65,25.68,26267600,693158464.0
2000-02-16,25.5,25.55,24.91,25.2,19069000,478863328.0
2000-02-17,25.25,26.4,24.23,24.9,23044700,579973760.0
2000-02-18,24.9,25.0,24.3,24.68,9693400,237689136.0
2000-02-21,24.75,26.3,24.2,25.8,25510500,650679616.0
2000-02-22,25.88,26.0,24.6,24.75,10517500,264067024.0
2000-02-23,24.6,25.25,24.5,24.6,6914500,171007824.0
2000-02-24,24.6,25.0,24.5,24.82,4648100,114760608.0
2000-02-25,24.9,24.97,24.5,24.6,5814800,143173184.0
2000-02-28,24.6,25.25,24.35,25.08,9373400,231796192.0
2000-03-01,25.2,27.1,25.17,25.82,41705100,1096015232.0
2000-03-02,25.78,26.0,25.1,25.42,12999800,330633280.0
2000-03-03,25.6,26.7,25.58,26.0,16109800,420418272.0
2000-03-06,26.48,26.9,25.55,25.6,20616100,542130560.0
2000-03-07,25.2,26.3,25.01,25.8,11132900,284899200.0
2000-03-08,26.0,26.18,25.43,25.69,5771400,148007824.0
2000-03-09,25.7,27.49,25.38,26.4,26490900,704219264.0
2000-03-10,26.4,26.5,25.51,25.62,10570000,273452608.0
2000-03-13,25.6,25.98,25.36,25.53,5566300,142355328.0
2000-03-14,25.0,25.42,24.8,25.42,11375100,285003712.0
2000-03-15,25.4,25.42,25.0,25.14,4219900,106073480.0
2000-03-16,25.0,25.08,24.28,24.5,7570200,187216560.0
2000-03-17,24.5,25.2,24.4,24.86,4270400,106042792.0
2000-03-20,24.5,25.2,24.5,25.02,4387600,109489000.0
2000-03-21,25.18,25.2,24.82,25.0,4409900,110102520.0
2000-03-22,25.08,25.71,24.88,25.34,4522000,114100496.0
2000-03-23,25.35,25.68,25.2,25.51,5887200,149693408.0
2000-03-24,26.01,27.05,25.51,25.51,21856400,575302208.0
2000-03-27,25.71,26.26,25.4,25.9,6161100,158738688.0
2000-03-28,26.03,26.3,25.25,25.5,7074200,180806576.0
2000-03-29,25.55,25.7,25.06,25.18,7495200,189202624.0
2000-03-30,25.25,25.72,25.25,25.38,4400700,111744656.0
2000-03-31,25.45,25.58,25.1,25.22,4320300,109090848.0
2000-04-03,25.2,25.5,25.1,25.24,3498400,88393320.0
2000-04-04,25.2,25.2,24.86,24.9,4307000,107536320.0
2000-04-05,24.9,25.49,24.88,25.15,3427000,85948608.0
2000-04-06,25.15,25.39,25.06,25.31,2927500,73823696.0
2000-04-07,25.42,25.9,25.38,25.69,6006300,154300912.0
2000-04-10,25.72,25.9,25.43,25.54,3327800,85045432.0
2000-04-11,25.6,26.08,25.4,25.56,6213900,159922400.0
2000-04-12,25.62,26.0,25.35,25.45,4634400,119159208.0
2000-04-13,25.45,25.88,25.4,25.6,4206500,107735816.0
2000-04-14,25.68,26.2,25.6,25.83,11250400,291591776.0
2000-04-17,26.0,26.2,25.18,25.3,7976800,204556960.0
2000-04-18,25.31,25.45,25.01,25.32,3894500,98184096.0
2000-04-19,25.45,25.78,25.19,25.3,2755500,69942880.0
2000-04-20,25.3,25.5,25.19,25.32,3636600,91864728.0
2000-04-21,25.0,25.49,25.0,25.15,3965500,99685688.0
2000-04-24,25.15,25.2,24.75,24.82,5913700,147290992.0
2000-04-25,24.81,25.09,24.78,24.84,2309500,57489168.0
2000-04-26,24.88,25.57,24.8,25.0,3559300,89234640.0
2000-04-27,25.0,25.2,24.68,24.74,3284100,81550296.0
2000-04-28,24.74,25.0,24.65,25.0,3210800,79526616.0
2000-05-09,24.9,24.9,24.35,24.43,2606000,63808332.0
2000-05-10,24.4,24.51,23.98,24.0,5873800,141397664.0
2000-05-11,24.0,24.27,23.8,23.9,3388200,81370248.0
2000-05-12,23.93,24.1,23.85,23.94,2969200,71131312.0
2000-05-15,23.95,24.0,23.01,23.06,4078300,94939552.0
2000-05-16,23.07,23.45,23.06,23.2,2071300,48081624.0
2000-05-17,23.25,23.35,23.06,23.15,2133600,49378356.0
2000-05-18,23.15,23.3,23.0,23.25,2946600,68124880.0
2000-05-19,23.3,23.69,23.25,23.5,2792000,65444252.0
2000-05-22,23.5,23.88,23.3,23.69,3608100,84995624.0
2000-05-23,23.85,23.96,23.3,23.47,2887900,67951040.0
2000-05-24,23.5,23.8,23.3,23.63,3456400,81374024.0
2000-05-25,23.7,24.5,23.65,24.29,7604300,183401584.0
2000-05-26,24.33,24.45,23.85,23.9,3614900,86693232.0
2000-05-29,23.9,23.98,23.6,23.74,3147700,74592064.0
2000-05-30,23.74,23.95,23.35,23.4,2970600,70035536.0
2000-05-31,23.4,23.88,23.3,23.45,3597300,84459832.0
2000-06-01,23.5,23.68,23.36,23.44,2270300,53251012.0
2000-06-02,23.5,23.97,23.4,23.7,3047200,72152784.0
2000-06-05,23.8,23.97,23.59,23.65,3602800,85402416.0
2000-06-06,23.66,23.98,23.65,23.84,2626900,62564700.0
2000-06-07,23.9,24.18,23.72,23.92,3507600,83916776.0
2000-06-08,23.99,24.34,23.81,23.91,4210100,101488512.0
2000-06-09,24.0,24.25,23.51,23.55,2450800,58230844.0
2000-06-12,23.5,23.72,23.39,23.62,1957200,45933936.0
2000-06-13,23.68,24.0,23.66,23.84,1787500,42589848.0
2000-06-14,24.0,24.69,23.95,24.18,9515600,232075376.0
2000-06-15,24.3,24.55,24.15,24.36,3013900,73399144.0
2000-06-16,24.45,24.5,23.88,23.97,2561100,61776776.0
2000-06-19,24.0,24.15,23.68,23.8,1830800,43529668.0
2000-06-20,23.8,23.83,23.61,23.65,1388300,32869450.0
2000-06-21,23.6,23.75,23.5,23.7,1567900,36978460.0
2000-06-22,23.75,23.8,23.51,23.54,1781700,42017240.0
2000-06-23,23.54,23.67,23.4,23.56,2454100,57647820.0
2000-06-26,23.57,23.69,23.47,23.57,2413800,56816672.0
2000-06-27,23.6,23.67,23.38,23.42,2771100,64999888.0
2000-06-28,23.43,23.7,23.35,23.41,2431500,56986820.0
2000-06-29,23.45,23.6,23.23,23.3,3482800,81188424.0
2000-06-30,23.3,23.7,23.25,23.55,2271300,53155960.0
2000-07-03,23.5,23.5,23.2,23.23,2027500,47119216.0
2000-07-04,23.2,23.3,23.12,23.25,1515100,35139352.0
2000-07-05,23.25,23.47,23.15,23.22,1421800,32988588.0
2000-07-06,23.15,23.27,23.01,23.08,1320000,30495192.0
2000-07-07,23.08,23.32,23.05,23.25,1294000,29985288.0
2000-07-10,23.3,23.4,23.06,23.11,1990000,45984564.0
2000-07-11,23.11,23.57,23.1,23.46,2414600,56295528.0
2000-07-12,23.5,23.95,23.46,23.6,3193800,75686152.0
2000-07-13,23.78,23.8,23.36,23.44,2374100,55708672.0
2000-07-14,23.45,23.6,23.27,23.6,2048400,47846536.0
2000-07-17,23.65,23.69,23.34,23.4,1667200,39087272.0
2000-07-18,23.4,23.47,23.25,23.35,1596200,37244460.0
2000-07-19,23.4,23.8,23.36,23.71,2766600,65375824.0
2000-07-20,23.8,23.88,23.42,23.45,1870600,44190880.0
2000-07-21,23.8,23.8,23.44,23.54,1983500,46836848.0
2000-07-24,23.56,23.65,23.28,23.31,1378700,32203728.0
2000-07-25,23.3,23.52,23.2,23.52,1514100,35311112.0
2000-07-26,23.5,23.52,23.29,23.39,1350300,31593068.0
2000-07-27,23.4,25.7,23.4,24.53,23718700,587270272.0
2000-07-28,24.4,24.7,23.98,23.99,4080500,98283112.0
2000-07-31,24.03,24.4,23.98,24.05,2956000,71283312.0
2000-08-01,24.06,24.35,24.0,24.05,1654600,39913392.0
